id,income,age,experience_years,city,region,current_job_years,current_house_years,profession,label,is_married_married,is_married_single,house_ownership_norent_noown,house_ownership_owned,house_ownership_rented,car_ownership_no,car_ownership_yes
1,140516,29,19,311,22,14,10,39,0,False,True,False,False,True,True,False
2,1151169,78,14,276,14,13,14,28,0,True,False,False,False,True,False,True
3,8212954,70,7,33,28,5,14,46,0,False,True,False,False,True,True,False
4,2917765,47,9,249,13,9,14,47,0,False,True,False,False,True,True,False
5,4535286,52,17,283,6,4,12,43,0,False,True,False,False,True,True,False
6,2204194,32,17,250,17,7,10,8,0,False,True,False,False,True,True,False
7,2041208,63,6,160,12,6,12,33,0,False,True,False,False,True,True,False
8,226629,53,18,274,7,12,11,40,0,False,True,False,False,True,True,False
9,4879862,75,2,273,13,2,12,14,0,False,True,False,True,False,True,False
10,2735428,72,20,267,8,6,14,46,0,False,True,False,False,True,True,False
11,7537675,45,4,103,28,4,14,27,0,False,True,False,False,True,True,False
12,8925422,72,14,188,25,6,10,5,0,False,True,False,False,True,False,True
13,7177475,54,9,153,0,7,12,4,0,False,True,False,False,True,False,True
14,4565145,40,5,214,5,5,13,47,0,False,True,False,False,True,False,True
15,8273281,39,1,89,28,1,12,44,0,False,True,False,False,True,True,False
16,5910135,71,2,36,2,2,11,39,0,True,False,False,False,True,False,True
17,8500985,30,18,113,2,9,12,37,0,False,True,False,False,True,True,False
18,2207695,68,0,29,28,0,14,49,0,False,True,False,False,True,True,False
19,2030566,42,8,58,2,4,14,44,0,False,True,False,False,True,True,False
20,6580482,48,11,19,6,7,10,7,0,False,True,False,False,True,True,False
21,6067257,47,5,69,2,5,13,50,0,False,True,False,False,True,True,False
22,4527248,47,6,181,28,6,13,40,0,False,True,False,False,True,False,True
23,6652382,35,13,89,28,7,14,22,0,False,True,False,False,True,False,True
24,5465069,59,15,234,0,3,11,5,0,False,True,False,False,True,False,True
25,9151808,34,4,232,14,4,11,36,0,False,True,False,False,True,True,False
26,4064017,53,18,0,0,9,10,26,0,False,True,False,False,True,False,True
27,9951052,36,15,131,14,9,12,11,0,False,True,False,False,True,False,True
28,7797908,22,4,204,22,4,14,35,0,False,True,False,False,True,False,True
29,2176235,50,10,113,2,3,11,6,0,False,True,False,False,True,True,False
30,9043659,62,7,202,6,7,14,0,0,True,False,False,False,True,True,False
31,5127014,76,0,305,14,0,13,33,0,True,False,False,False,True,True,False
32,3972501,48,0,26,22,0,14,34,0,False,True,False,False,True,False,True
33,4380994,35,10,214,5,4,14,0,0,False,True,False,False,True,False,True
34,2418879,75,1,41,2,1,10,19,0,False,True,False,False,True,True,False
35,1441243,55,6,203,1,6,10,31,0,False,True,False,False,True,False,True
36,3852642,23,11,245,23,11,12,8,0,False,True,False,False,True,True,False
37,9287205,68,9,192,25,8,11,10,0,False,True,True,False,False,True,False
38,5765117,43,7,132,2,7,11,38,0,False,True,False,False,True,True,False
39,1114427,73,9,261,2,9,13,12,0,False,True,False,False,True,False,True
40,9646526,62,8,18,25,4,13,0,0,False,True,False,False,True,False,True
41,5743908,29,19,19,6,7,14,10,0,False,True,False,False,True,False,True
42,8640226,40,12,232,14,9,10,23,0,False,True,False,True,False,True,False
43,2955958,35,17,16,14,7,11,14,0,False,True,False,False,True,False,True
44,273058,67,8,20,0,7,11,37,0,False,True,False,False,True,True,False
45,645868,53,6,46,6,3,13,6,0,False,True,False,False,True,False,True
46,132028,54,3,197,14,3,14,35,0,False,True,False,False,True,False,True
47,3693362,57,15,260,14,11,10,50,0,False,True,False,False,True,True,False
48,2344126,37,7,18,25,7,11,33,0,False,True,False,False,True,False,True
49,1604148,35,20,231,10,3,13,28,0,False,True,False,False,True,False,True
50,2818110,41,20,7,14,12,14,31,0,True,False,False,False,True,True,False
51,5097581,45,14,89,28,10,11,31,0,False,True,False,False,True,True,False
52,8224128,50,17,177,28,5,11,33,0,False,True,False,False,True,False,True
53,2793718,38,12,142,0,12,10,40,0,False,True,False,False,True,True,False
54,9159100,49,12,69,2,12,12,19,0,False,True,False,False,True,True,False
55,4004905,44,1,122,11,1,14,23,0,False,True,False,False,True,True,False
